goos: linux
goarch: amd64
pkg: github.com/Ruslan-Androsenko/otus-home-work/hw10_program_optimization
cpu: 11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz
BenchmarkGetDomainStatFindUnknown-16    	  400621	      2909 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  403340	      2916 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  400470	      2930 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  395191	      2949 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  402182	      2953 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  396496	      2948 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  400766	      2924 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  406798	      2921 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  404208	      2930 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  402135	      2914 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  407733	      2905 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  405524	      2915 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  408924	      2924 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  405920	      2904 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  406058	      2907 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  401944	      2913 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  401841	      2908 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  403878	      2919 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  400732	      2919 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  397326	      2918 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  399610	      2906 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  401492	      2923 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  405246	      2916 ns/op	    5264 B/op	      10 allocs/op
BenchmarkGetDomainStatFindUnknown-16    	  409125	      2921 ns/op	    5264 B/op	      10 allocs/op
PASS
ok  	github.com/Ruslan-Androsenko/otus-home-work/hw10_program_optimization	146.190s
